Kegg_ID	ModelSeed_ID
R00004	rxn00001
R00005	rxn00002
R00006	rxn00003
R00008	rxn00004
R00009	rxn00006
R00010	rxn00007
R00011	rxn00008
R00012	rxn00009
R00013	rxn00010
R00014	rxn00011
R00015	rxn00012
R00016	rxn00013
R00017	rxn00014
R00018	rxn00015
R00022	rxn00016
R00023	rxn00017
R00024	rxn00018
	rxn00019
R06092	rxn00020
R00027	rxn00021
R06084	rxn00022
R00029	rxn00023
R00031	rxn00024
R00032	rxn00025
R00033	rxn00026
R00034	rxn00027
R00068	rxn00028
R00036	rxn00029
R00038	rxn00030
R00039	rxn00031
	rxn00032
R00042	rxn00033
R00043	rxn00034
R00044	rxn00035
R00045	rxn00036
	rxn00037
R00048	rxn00038
R00049	rxn00039
R00053	rxn00040
R00054	rxn00041
R00055	rxn00042
R00058	rxn00043
R00059	rxn00044
R00062	rxn00045
R00063	rxn00046
R00064	rxn00047
R00066	rxn00048
	rxn00050
R00070	rxn00051
R00072	rxn00052
	rxn00053
R00074	rxn00054
R00075	rxn00055
R00078	rxn00056
R00080	rxn00057
R00081	rxn00058
	rxn00059
R00084	rxn00060
R00085	rxn00061
R00086	rxn00062
R00087	rxn00063
R00088	rxn00064
R00089	rxn00065
R00090	rxn00066
R00091	rxn00067
R00092	rxn00068
R00093	rxn00069
R00094	rxn00070
R00095	rxn00071
R00097	rxn00072
	rxn00073
R00099	rxn00074
R00102	rxn00075
R00103	rxn00076
R00104	rxn00077
R00105	rxn00078
R00106	rxn00079
R00107	rxn00080
	rxn00081
	rxn00082
R00112	rxn00083
R00113	rxn00084
R00114	rxn00085
R00115	rxn00086
	rxn00087
R00118	rxn00088
R00119	rxn00089
R00120	rxn00090
	rxn00091
R00122	rxn00092
R00123	rxn00093
R00125	rxn00095
R00126	rxn00096
R00127	rxn00097
R00128	rxn00098
R00129	rxn00099
R00130	rxn00100
R00131	rxn00101
R10092	rxn00102
R00134	rxn00103
	rxn00104
R00137	rxn00105
R00138	rxn00106
R00139	rxn00107
R00140	rxn00108
R00143	rxn00109
	rxn00110
	rxn00111
	rxn00112
R00149	rxn00113
R00150	rxn00114
R00152	rxn00115
R00155	rxn00116
R00156	rxn00117
R00157	rxn00118
R00158	rxn00119
R00159	rxn00120
R00160	rxn00121
R00161	rxn00122
R00173	rxn00123
R00174	rxn00124
R00175	rxn00125
R00177	rxn00126
R00178	rxn00127
R00179	rxn00128
R00180	rxn00129
R00181	rxn00130
R00182	rxn00131
R00183	rxn00132
R00184	rxn00133
R00185	rxn00134
	rxn00135
R00187	rxn00136
R00188	rxn00137
R00189	rxn00138
R00190	rxn00139
R00191	rxn00140
R00192	rxn00141
R00193	rxn00142
R00194	rxn00143
R00195	rxn00144
R00196	rxn00145
R00197	rxn00146
R00199	rxn00147
R00200	rxn00148
R00203	rxn00149
R00205	rxn00150
R00206	rxn00151
R00207	rxn00152
R00208	rxn00153
R00209	rxn00154
R00210	rxn00155
R00211	rxn00156
R00212	rxn00157
R00213	rxn00158
R00214	rxn00159
R00215	rxn00160
R00216	rxn00161
R00217	rxn00162
R00218	rxn00163
R00219	rxn00164
R00220	rxn00165
